country,indicator,year,value
ESP,PCPIEPCH,1990,6.5
ESP,PCPIEPCH,1991,5.5
ESP,PCPIEPCH,1992,5.4
ESP,PCPIEPCH,1993,4.9
ESP,PCPIEPCH,1994,4.3
ESP,PCPIEPCH,1995,4.3
ESP,PCPIEPCH,1996,3.3
ESP,PCPIEPCH,1997,1.9
ESP,PCPIEPCH,1998,1.4
ESP,PCPIEPCH,1999,2.8
ESP,PCPIEPCH,2000,4.0
ESP,PCPIEPCH,2001,2.5
ESP,PCPIEPCH,2002,4.0
ESP,PCPIEPCH,2003,2.7
ESP,PCPIEPCH,2004,3.3
ESP,PCPIEPCH,2005,3.7
ESP,PCPIEPCH,2006,2.7
ESP,PCPIEPCH,2007,4.3
ESP,PCPIEPCH,2008,1.4
ESP,PCPIEPCH,2009,0.9
ESP,PCPIEPCH,2010,2.9
ESP,PCPIEPCH,2011,2.3
ESP,PCPIEPCH,2012,3.0
ESP,PCPIEPCH,2013,0.3
ESP,PCPIEPCH,2014,-1.1
ESP,PCPIEPCH,2015,-0.1
ESP,PCPIEPCH,2016,1.4
ESP,PCPIEPCH,2017,1.2
ESP,PCPIEPCH,2018,1.2
ESP,PCPIEPCH,2019,0.8
ESP,PCPIEPCH,2020,-0.6
ESP,PCPIEPCH,2021,6.6
ESP,PCPIEPCH,2022,5.5
ESP,PCPIEPCH,2023,3.3
ESP,PCPIEPCH,2024,2.8
ESP,PCPIEPCH,2025,1.9
ESP,PCPIEPCH,2026,1.9
ESP,PCPIEPCH,2027,2.1
ESP,PCPIEPCH,2028,2.0
ESP,PCPIEPCH,2029,2.0
ESP,PCPIEPCH,2030,2.0
FRA,PCPIEPCH,1990,3.2
FRA,PCPIEPCH,1991,3.2
FRA,PCPIEPCH,1992,1.9
FRA,PCPIEPCH,1993,2.2
FRA,PCPIEPCH,1994,1.5
FRA,PCPIEPCH,1995,2.0
FRA,PCPIEPCH,1996,1.7
FRA,PCPIEPCH,1997,1.2
FRA,PCPIEPCH,1998,0.3
FRA,PCPIEPCH,1999,1.0
FRA,PCPIEPCH,2000,2.1
FRA,PCPIEPCH,2001,1.5
FRA,PCPIEPCH,2002,2.1
FRA,PCPIEPCH,2003,2.4
FRA,PCPIEPCH,2004,2.3
FRA,PCPIEPCH,2005,1.9
FRA,PCPIEPCH,2006,1.5
FRA,PCPIEPCH,2007,2.5
FRA,PCPIEPCH,2008,2.0
FRA,PCPIEPCH,2009,0.4
FRA,PCPIEPCH,2010,1.9
FRA,PCPIEPCH,2011,2.6
FRA,PCPIEPCH,2012,1.7
FRA,PCPIEPCH,2013,0.8
FRA,PCPIEPCH,2014,0.3
FRA,PCPIEPCH,2015,0.2
FRA,PCPIEPCH,2016,0.7
FRA,PCPIEPCH,2017,1.2
FRA,PCPIEPCH,2018,2.2
FRA,PCPIEPCH,2019,1.3
FRA,PCPIEPCH,2020,0.1
FRA,PCPIEPCH,2021,3.4
FRA,PCPIEPCH,2022,7.0
FRA,PCPIEPCH,2023,4.2
FRA,PCPIEPCH,2024,1.7
FRA,PCPIEPCH,2025,1.7
FRA,PCPIEPCH,2026,1.3
FRA,PCPIEPCH,2027,2.2
FRA,PCPIEPCH,2028,1.9
FRA,PCPIEPCH,2029,2.0
FRA,PCPIEPCH,2030,1.7
